owling & yahnke llc
caine mitter & assocites inc
marvin jmes l
karachun ita a
reithinger nil
yanki lisa
wf asin smaller companies fund ltd
mvp capital dvisors llc
delaware group limited-term governmnt funds
campbell steven 
mbs source etrading nc
intgrity funds
menawat arun warup
powell cynhia b
fox jame
rttaliata peter
origami opportunities fund iv offshoe lp
runkle bran
fritzy tech ic
grassman caterine
deoer sidney b
mathews alan
feltz loriann
university of masachusetts foundation inc
fiorino nthony s
crescent opportunity zne investment fund llc---series i
fentura fnancial inc
blackrock asset management caada ltd
winlo management grou llc
fishman jay a td/mi
lkagold inc /de/
oppenheimer international divesified fund
loop idustries inc
dsm caital partners llc
tnbarge bryce
rudy suzanne 
paific merchants alliance llc
all for one media cop
fain phili a
obero fuels inc
cagill c keith
eaton vance massachusetts municipal incometrust
mho ll
chibi adam
rice michael ohn
greene randll
dwm financellc
telephonics orp
menellydenise m
equityen growth technology fund llc - series 511
ranin james t
wog catherine
athenex in
frontier partnrs inc
shapiro geoge craig
mgg specialty finance fnd ii lp
hllsworth frederick
cllaway e reeves iii
common oen llc
smith jil d
ranklin laura m
hazelbrook investors (bermuda)lp
oen dan
kersein david
coo anne marie
singlton j matthew
witebox advisors llc
cc neuberger principal hldings i
goldstein howad
veterinary radiation oncology of the chesapeake lc
pbmares wealth anagement llc
lindren mark c
seier robert a
tribeca investmet partners pty ltd
teekay lng prtners lp
ranck ouglas p
china eco-material group co ltd
gillis frank laure
hirtle callaghan ttal return offshore fund ltd
l3 capitalincome fund llc
alexaner david a
mythic collection ll
ollies bargainoutlet holdings inc
liberty roperty limited partnership
bhrens scott r
bran michelle
ripp robrt
phllippy robert j
lyons mihael p
tradebot systems ic
qfr ictoria fund ltd
ryan timoty m
messno amy
ancala ifrastructure fund ii scsp
relaive value fund
biebe michael a
nexpoint rsidential trust inc
makena perpetual venture capital fud (cayman) lp
the m &a group llc
lindemanbruce john
yeh jefrey
geller specia opportunities fund ii llc
shah sanay c
vardeman ryanl
ferola eter
sobl clifford m
soinski jeffre m
gty technology holdingsinc
thid point reinsurance ltd
cjcp tust
olombo william j
mrines tracy l
van rotterdamjeroen
couch christophe
rapagla stephan a
cavelo bay reinsurance ltd
ibar geoffrey g
security benefit life insurane co /ks/
homas shundrawn a
viseon corp
benante marin r
murphymichael p
ryan lcy c
invesco unit trusts unicipal series 1139
trracycle us inc
l2 summit enhanced returnfund lp
nimocks szanne p
manning pter j
bisio ronad
rubin amr dan
forbion capital fund iii coopertief ua
peddock captal advisors llc
bayview financial acquisiion trust
ortenziorocco a
mahalingm arjun
capita innovations llc
studenmund jayne m
gery brett c
maza larry f
sexton obert g
licea michael
mg llc
nuveen michigan quality unicipal income fund
bernethy robert c
hcr potomac fund (seres a) lp
berning jaob j
ivesco unit trusts municipal series 1142
johnstoncesar
t rowe price new income fundinc
kozanian hagoph
twin tree maagement lp
litespeed management lc
cardone equity und ix llc
stone ridge vntures llc
ho richard w
mpery tax efficient lp
nwivdm lp
capital management of te carolinas llc
stark avid matthew
core global oportunities fund lp
blackstone core equity prtners ii (lux) scsp
rpi international holdings2019 lp
feldman jonatan
easternco
kayne liquid credit und lp
ong chris
blackrockenergy & resources trust
10 federal self storage acquisitio co 2 llc
paradice invetment management pty ltd
guggenheim defined portfolios seies 1865
ionic pamli short credit opportunity fun llc
mufg investor sevices (us) llc
sivert g michael
gener8torfund vii llc
baldnza b ben
ft 275
kelly kevi l
strategic financial servics inc
genereux scot
dorch a verna
dniell richard
talcott resolution life insurance co separate account to qp vari acco
fouse jacquayn a
kayne solutions fnd lp
wiliamson don e
bo und i a series of noveus capital funds lp
parkood estates llc
rio grande health holdings lc
slack hnry r
invesco unit trusts municipl series 1232
pe premier lackstone life sciences v offshore feeder lp
anderson grgory clark
kyrilos jean-claude
cocktai parlor llc
keating timohy john
campbell nicholas j 
shamber blaine
finnerty tomas
bnp paribas asset management rasil ltda
sherlockjanet
luach carl j
ice em creit absolute return fund lp
buckley obert
annas hristopher j
stokes capital advisrs llc
biostable science & engineerin inc
barbier rem
stratus feder llc
archpelago partners lp
